siteid, sensorid, timestamp, value
1,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:00:00'}",24
1,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:00:00'}",5
1,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:00:00'}",60
2,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:00:00'}",0
2,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:00:00'}",5
2,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:00:00'}",100
3,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:00:00'}",36
3,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:00:00'}",5
3,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:00:00'}",38
4,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:00:00'}",99
4,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:00:00'}",5
4,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:00:00'}",84
5,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:00:00'}",#ERROR#
5,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:00:00'}",5
5,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:00:00'}",96
1,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:15:00'}",28
1,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:15:00'}",5
1,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:15:00'}",94
2,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:15:00'}",3
2,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:15:00'}",5
2,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:15:00'}",95
3,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:15:00'}",72
3,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:15:00'}",5
3,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:15:00'}",21
4,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:15:00'}",-59
4,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:15:00'}",5
4,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:15:00'}",34
5,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:15:00'}",22
5,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:15:00'}",5
5,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:15:00'}",85
1,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:30:00'}",11
1,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:30:00'}",5
1,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:30:00'}",15
2,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:30:00'}",#ERROR#
2,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:30:00'}",5
2,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:30:00'}",86
3,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:30:00'}",100
3,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:30:00'}",5
3,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:30:00'}",30
4,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:30:00'}",56
4,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:30:00'}",5
4,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:30:00'}",31
5,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:30:00'}",100
5,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:30:00'}",5
5,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:30:00'}",71
1,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:45:00'}",16
1,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:45:00'}",5
1,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:45:00'}",14
2,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:45:00'}",71
2,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:45:00'}",5
2,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:45:00'}",62
3,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:45:00'}",77
3,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:45:00'}",5
3,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:45:00'}",66
4,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:45:00'}",50
4,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:45:00'}",5
4,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:45:00'}",43
5,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:45:00'}",16
5,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:45:00'}",#ERROR#
5,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'00:45:00'}",-16
1,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:00:00'}",73
1,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:00:00'}",6
1,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:00:00'}",95
2,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:00:00'}",24
2,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:00:00'}",6
